filename, Unlabeled, angry, attentive, no clear emotion recognizable, relaxed, sad, uncomfortable
CAT_01_00000119_012_png.rf.e0d54228d974e3952b5787bb6ebd8529.jpg, 0, 0, 1, 0, 0, 0, 0
00000411_018_png.rf.e0fb7e29199776af59cf2a0ae6d0c74b.jpg, 0, 0, 1, 0, 0, 0, 0
00000095_000_png.rf.e100c8a3c4b6ac7ac95dbbef20759b84.jpg, 0, 0, 0, 0, 1, 0, 0
CAT_01_00000118_022_png.rf.e16685de947eeb94679fded41427e876.jpg, 0, 0, 0, 0, 0, 0, 1
00000332_007_png.rf.e1a9e5fe3d64ed51e6cefc32f44eb764.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000168_024_png.rf.e2553b8e4386ae60bb0dc6e0fd478faa.jpg, 0, 0, 0, 0, 1, 0, 0
00000036_005_png.rf.e2300cf2d0dc501432ec3ff596ab8915.jpg, 0, 0, 1, 0, 0, 0, 0
00000400_021_png.rf.e1a7d898ca32ec5d38f560c15d82a19b.jpg, 0, 0, 0, 1, 0, 0, 0
00000024_000_png.rf.e1f9a253ffcdafd01a3bb7d092ae0d2e.jpg, 0, 0, 0, 0, 1, 0, 0
00000075_004_png.rf.e1b695553f995838c773e685ae40d719.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000140_004_png.rf.e1217c0a5f556ba3d3938e2c10b121ba.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000170_026_png.rf.e158cb76ebc65e112fca4da54ba610f2.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000123_006_png.rf.e15befaca3e0569974db8bbf5c92105a.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000170_023_png.rf.e2088e7203128350688077c646977dea.jpg, 0, 0, 0, 0, 1, 0, 0
00000385_028_png.rf.e240d1aceffbefbf19a91883016edfb6.jpg, 0, 0, 1, 0, 0, 0, 0
00000017_020_png.rf.e1f43f2e26c3e0742b72c005bb7a3f73.jpg, 0, 0, 0, 0, 1, 0, 0
00000073_001_png.rf.e1cd0c676b28fe02a92e179fb00c6df9.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000138_011_png.rf.e2944a5388600154f954bef3949491b8.jpg, 0, 0, 0, 0, 1, 0, 0
00000315_027_png.rf.e26c5baa8c34a6a40c7cf76e83f713be.jpg, 0, 0, 0, 0, 0, 0, 1
00000036_008_png.rf.e26ac1758b094dff5b354959b606fd3e.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000136_012_png.rf.e093bf66f3eaaea36eef18f1901faf47.jpg, 0, 0, 0, 1, 0, 0, 0
CAT_01_00000161_018_png.rf.e298c23ab47bab565d6301ef7b33f1d3.jpg, 0, 0, 1, 0, 0, 0, 0
00000300_020_png.rf.e074237d0d665a4b5154064235ac8ae3.jpg, 0, 0, 1, 0, 0, 0, 0
00000036_006_png.rf.e0c7b3ba1f279842de9fd11816139e73.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000159_010_png.rf.e2b081012444e11c85221b2ca5df4176.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000126_001_png.rf.e32946a6356cf416b34f7d5d2110bdba.jpg, 0, 0, 0, 0, 1, 0, 0
00000453_003_png.rf.e316973ad774d85897374b731d55195a.jpg, 0, 0, 1, 0, 0, 0, 0
00000003_015_png.rf.e50092705d832ab3c94461d925e7b141.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000104_001_png.rf.e3aee8804e1e1c285db0c1a86cb07d37.jpg, 0, 0, 0, 0, 1, 0, 0
00000009_003_png.rf.e3ddd08c51b3e88dc8a01f4265074695.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000181_014_png.rf.e373edf83403d96af7dfbc3069440108.jpg, 0, 0, 0, 0, 0, 0, 1
CAT_01_00000149_005_png.rf.e3b9ae507f46cb116685c16c06af3a9b.jpg, 0, 0, 1, 0, 0, 0, 0
00000378_011_png.rf.e45c35733f2c469d93893c5412e04c28.jpg, 0, 0, 0, 0, 1, 0, 0
00000418_024_png.rf.e42fe10155affc039d9fb90c2fea074c.jpg, 0, 0, 0, 0, 1, 0, 0
CAT_01_00000173_022_png.rf.e4de7fff7415efeb116aa239e7e91aa7.jpg, 0, 0, 0, 0, 1, 0, 0
00000347_010_png.rf.e4f932c397f6d5f6c333173a9177bd84.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000131_026_png.rf.e4f4f8b2900a97ac416f17236a8bade0.jpg, 0, 0, 1, 0, 0, 0, 0
00000098_019_png.rf.e4401f9335dd1251f72728fab68fcfaa.jpg, 0, 0, 0, 0, 1, 0, 0
CAT_01_00000175_007_png.rf.e4f7ba3e4f78b51476dfee13288f1796.jpg, 0, 0, 0, 0, 1, 0, 0
CAT_01_00000137_022_png.rf.e43e8681dd91fe1f11b81c76a7dc9757.jpg, 0, 0, 0, 0, 1, 0, 0
CAT_01_00000103_022_png.rf.e4a46c17ab4633212dba57882908a208.jpg, 0, 0, 1, 0, 0, 0, 0
00000437_028_png.rf.e3367bd316531cfd3061d400dffc0438.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000123_008_png.rf.e52d2758a0999f39cc37f6112cd5f175.jpg, 0, 0, 0, 0, 1, 0, 0
00000020_004_png.rf.e3cd55a971765265977aff8059cde993.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000148_009_png.rf.e3f3e3fcf17803070fb8b238378c8b60.jpg, 0, 0, 1, 0, 0, 0, 0
00000358_003_png.rf.e572a835e4e1e7cc402cb5bc2fb08c83.jpg, 0, 0, 1, 0, 0, 0, 0
00000006_025_png.rf.e57f17eebbeeae5a39fbda59ec141b11.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000175_009_png.rf.e5076b47d7617d5b7a6f40c08bc6609c.jpg, 0, 0, 0, 0, 1, 0, 0
00000033_006_png.rf.e4ef0a06ca93b6fc5c721541e0c36308.jpg, 0, 0, 1, 0, 0, 0, 0
00000049_010_png.rf.e5acb96e5117f7ce2acfcffcaf0b94b0.jpg, 0, 0, 1, 0, 0, 0, 0
00000379_001_png.rf.e4f8af10c533951c23b664b49f8946fc.jpg, 0, 0, 1, 0, 0, 0, 0
00000055_003_png.rf.e450de58e067729630a4eb3666f4260b.jpg, 0, 0, 1, 0, 0, 0, 0
00000406_021_png.rf.e6d9f806ecef25a7504ad07e128874bf.jpg, 0, 0, 0, 0, 1, 0, 0
00000432_006_png.rf.e756cff9559384c70dd360aba9c9ad66.jpg, 0, 0, 1, 0, 0, 0, 0
CAT_01_00000182_020_png.rf.e6b3cd62038d777ef8890231b50b1b13.jpg, 0, 0, 1, 0, 0, 0, 0
00000063_002_png.rf.e724a4609dae1a4943272874f0d89dcf.jpg, 0, 0, 0, 0, 1, 0, 0
00000046_025_png.rf.e737498b3dcdcee7ad9f8ac198020fed.jpg, 0, 0, 0, 0, 1, 0, 0
